ORDER,RECIPE,SHORTNAME,RECIPE KIND,REF RECIPE,FIBER,FILTERS,ARGS,KWARGS
1,apero_pp_ref_nirps_ha.py,PPREF,pre-reference,Yes,--,--,,
2,apero_preprocess_nirps_ha.py,PP,pre-all,No,--,--,,
3,apero_dark_ref_nirps_ha.py,DARKREF,calib-reference,Yes,--,--,,
4,apero_badpix_nirps_ha.py,BADREF,calib-reference,Yes,--,--,,
5,apero_loc_nirps_ha.py,LOCREFCAL,calib-reference-CAL,Yes,--,--,{files}=[DARK_FLAT],
6,apero_loc_nirps_ha.py,LOCREFSCI,calib-reference-SCI,Yes,--,--,{files}=[FLAT_DARK],
7,apero_shape_ref_nirps_ha.py,SHAPEREF,calib-reference,Yes,--,--,,
8,apero_shape_nirps_ha.py,SHAPELREF,calib-reference,Yes,--,--,,
9,apero_flat_nirps_ha.py,FLATREF,calib-reference,Yes,--,--,,
10,apero_leak_ref_nirps_ha.py,LEAKREF,calib-reference,Yes,--,--,,
11,apero_wave_ref_nirps_ha.py,WAVEREF,calib-reference,Yes,--,--,,--hcfiles=[HCONE_HCONE] |br| --fpfiles=[FP_FP]
12,apero_badpix_nirps_ha.py,BAD,calib-night,No,--,--,,
13,apero_loc_nirps_ha.py,LOCCAL,calib-night-CAL,No,--,--,{files}=[DARK_FLAT],
14,apero_loc_nirps_ha.py,LOCSCI,calib-night-SCI,No,--,--,{files}=[FLAT_DARK],
15,apero_shape_nirps_ha.py,SHAPE,calib-night,No,--,--,,
16,apero_flat_nirps_ha.py,FF,calib-night,No,--,--,{files}=[FLAT_FLAT],
17,apero_wave_night_nirps_ha.py,WAVE,calib-night,No,--,--,,
18,apero_extract_nirps_ha.py,EXTALL,extract-ALL,No,--,--,"{files}=[OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY]",
19,apero_mk_tellu_nirps_ha.py,MKTELLU1,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
20,apero_mk_model_nirps_ha.py,MKTMOD1,tellu-hotstar,No,--,--,,
21,apero_fit_tellu_nirps_ha.py,MKTFIT1,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
22,apero_mk_template_nirps_ha.py,MKTEMP1,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",,
23,apero_mk_tellu_nirps_ha.py,MKTELLU2,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
24,apero_mk_model_nirps_ha.py,MKTMOD2,tellu-hotstar,No,--,--,,
25,apero_fit_tellu_nirps_ha.py,MKTFIT2,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
26,apero_mk_template_nirps_ha.py,MKTEMP2,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",,
27,apero_fit_tellu_nirps_ha.py,FTFIT1,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
28,apero_mk_template_nirps_ha.py,FTTEMP1,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",,
29,apero_fit_tellu_nirps_ha.py,FTFIT2,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF],
30,apero_mk_template_nirps_ha.py,FTTEMP2,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",,
31,apero_ccf_nirps_ha.py,CCF,rv-tcorr,No,AB,"KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK",{files}=[TELLU_OBJ],
32,apero_postprocess_nirps_ha.py,POSTALL,post-all,No,--,"KW_DPRTYPE: OBJ_FP, OBJ_DARK, POLAR_FP, POLAR_DARK",{files}=[DRS_PP],
